state,activity,rfc,name,address,legal_rep,phone,email,address2,phone2,zip,city
JALISCO,A,AEI080121M47,"Asistencia e Investigación en Glaucoma, A.C.","Mariano Azuela Núm 37, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",José Antonio Paczka Zapata,3336940040,jakelinne76@hotmail.com,,,44600,Guadalajara
JALISCO,I,AFM110810IG2,"Alianza FC México, A.C.","Francisco Rojas González Núm 27 A, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Laura Sarvide Álvarez Icaza,,,,,44600,Guadalajara
JALISCO,A,AMB950606KEA,"Asociación Mexicana de Bancos de Alimentos, A.C.","Rinconada del Agua Núm 2811, Col. Rinconada del Bosque, C.P. 44530, Guadalajara, Jalisco",Jesús Salvador Manjarrez Miramontes,3331620330,administracion@bamx.org.mx,,,44530,Guadalajara
JALISCO,M,AMB950606KEA,"Asociación Mexicana de Bancos de Alimentos, A.C.","Rinconada del Agua Núm 2811, Col. Rinconada del Bosque, C.P. 44530, Guadalajara, Jalisco",Jesús Salvador Manjarrez Miramontes,3331620330,administracion@bamx.org.mx,,,44530,Guadalajara
JALISCO,A,AMF110408QLA,"Asociación Mexicana de Fenilcetonuria, A.C.","Av. Américas Núm 1536 - Piso 4, Col. Country Club, C.P. 44637, Guadalajara, Jalisco",José de Jesús Muñoz Navarro,3338170024,pkumexico@hotmail.com,,,44637,Guadalajara
JALISCO,M,AMF110408QLA,"Asociación Mexicana de Fenilcetonuria, A.C.","Av. Américas Núm 1536 - Piso 4, Col. Country Club, C.P. 44637, Guadalajara, Jalisco",José de Jesús Muñoz Navarro,3338170024,pkumexico@hotmail.com,,,44637,Guadalajara
JALISCO,M,AML140707II0,"Asociación Mexicana Linfologìa y Linfedema, A.C.","Morelos Núm 1979 - 2, Col. Obrera Centro, C.P. 44140, Guadalajara, Jalisco",Blanca Alicia Meza León,36164787,,,,44140,Guadalajara
JALISCO,A,AML140707II0,"Asociación Mexicana Linfologìa y Linfedema, A.C.","Morelos Núm 1979 - 2, Col. Obrera Centro, C.P. 44140, Guadalajara, Jalisco",Blanca Alicia Meza León,36164787,,,,44140,Guadalajara
JALISCO,A,APF830317BG5,"Asociación de Padres de Familia con Niños Down, A.C.","Plan de San Luis Núm 1640, Col. Mezquitán Country, C.P. 44260, Guadalajara, Jalisco",Carlos Humberto Barragan Fonseca,23-89-34,,,,44260,Guadalajara
JALISCO,A,ASE8707065B7,"Ayuda y Servicio, A.C.","Valparaíso Núm 2367 - 14, Col. Providencia 1a., 2a. y 3a. Sección, C.P. 44630, Guadalajara, Jalisco",Pablo Ignacio Heliodoro Sahagun de la Mora,,,,,44630,Guadalajara
JALISCO,B,ASF560417BA3,"The American School Foundation of Guadalajara, A.C.","Colomos Núm 2100, Col. Italia Providencia, C.P. 44640, Guadalajara, Jalisco",Felipe Delfín,01 3 8173377,,,,44640,Guadalajara
JALISCO,A,ASO1310017J3,"Aprendiendo con Sonrisas, A.C.","Montenegro Núm 174, Col. San Sebastián El Grande, C.P. 45650, Tlajomulco de Zuñiga, Jalisco",Ana Elizabeth Cantera Ramírez,3338178705,gaely_mendez@gmail.com,,,45650,Tlajomulco de Zuñiga
JALISCO,A,ASS120911NAA,"Señorita Sorda México, A.C.","Álvaro Obregón Núm 41, Col. Guadalajara Centro, C.P. 44100, Guadalajara, Jalisco",Silvia Raquel Camarena Núñez,36170649,senoritasordamexico@hotmail.com,,,44100,Guadalajara
JALISCO,M,ATI021216BK6,"El Arte de los Títeres, A.C.","Monte Everest Núm 1192, PB., Col. Independencia Oriente, C.P. 44340, Guadalajara, Jalisco",Antonio Camacho Oropeza,(33) 36096420,la_coperacha@yahoo.com.mx,,,44340,Guadalajara
JALISCO,D,ATI021216BK6,"El Arte de los Títeres, A.C.","Monte Everest Núm 1192, PB., Col. Independencia Oriente, C.P. 44340, Guadalajara, Jalisco",Antonio Camacho Oropeza,(33) 36096420,la_coperacha@yahoo.com.mx,,,44340,Guadalajara
JALISCO,A,AVI000502AD5,"Apoyo y Vida, A.C.","Miguel Gordoa Núm 1689, Col. San Miguel Mezquitan, C.P. 44260, Guadalajara, Jalisco",Brenda Schultz Hoeflich,36-16-84-19,,,,44260,Guadalajara
JALISCO,L,BME140304JI3,"Butterflies en México, A.C.","Paseo Piedra Grande Núm 250, Col. Localidad San Juan Cosala, C.P. 45820, Jocotepec, Jalisco",Mac Bruce Whyte,3877610360,ravensmac@gmail.com,,,45820,Jocotepec
JALISCO,B,BPA121130LH6,"Bachillerato Pedro Arrupe, SJ, A.C.","Prisciliano Sánchez Núm 952, Col. Americana, C.P. 44160, Guadalajara, Jalisco",Lucía Márquez López,3338806000,lmarquez@dalton.com.mx,,,44160,Guadalajara
JALISCO,A,BSN1207091M8,"Por el Bien Superior del Niño, A.C.","Privada de las Bugambilias Núm 2, Col. Lomas del Bosque, C.P. 45118, Guadalajara, Jalisco",Karla Esmeralda Rodríguez Pérez,,,,,45118,Guadalajara
JALISCO,A,BUN921001T39,"Barrios Unidos, A.C.","Josefa Ortíz de Domínguez Núm 1306, Col. Blanco y Cuellar, C.P. 44730, Guadalajara, Jalisco",Héctor Adán Castañeda Aguilera,336440786,,,,44730,Guadalajara
JALISCO,M,CAL150815B35,"Creando Alegrías, A.C.","Rafael Lozada Núm 3009, Col. Echeverría, C.P. 44970, Guadalajara, Jalisco",Juan José Rodríguez Ambriz,20052857,creandoalegriasac@gmail.com,,,44970,Guadalajara
JALISCO,A,CAL150815B35,"Creando Alegrías, A.C.","Rafael Lozada Núm 3009, Col. Echeverría, C.P. 44970, Guadalajara, Jalisco",Juan José Rodríguez Ambriz,20052857,creandoalegriasac@gmail.com,,,44970,Guadalajara
JALISCO,A,CAM751224G71,"Camyn, A.C.","Av. Hidalgo Núm 1691 - A, Col. Ladron de Guevara, C.P. 44600, Guadalajara, Jalisco",Gloria del Sagrado Corazón Barreiro Guemes Verónica Haydee Fernández Labastida,36159239,gloriabarreiro@yahoo.com.mx,,,44600,Guadalajara
JALISCO,I,CAN1504277U7,"Canfelis, A.C.","Av. Periférico Sur Núm 7800, Col. Santa Mar Tequetexpan, C.P. 45601, Tlaquepaque, Jalisco",Oscar Rodrigo Salcedo Pérez,,,,,45601,Tlaquepaque
JALISCO,A,CAT940523L88,"Club de Amigos de la Tercera Edad, A.C.","República Núm 728, Col. Zona Oblatos, Sector Libertad, C.P. 44380, Guadalajara, Jalisco",Luis Cuahutémoc López González,338234247,,,,44380,Guadalajara
JALISCO,B,CCE62111051A,"Colegio Cervantes, A.C.","Luis Pérez Verdia Núm 361, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Manuel Franco Jáuregui,3630-3610 y 2062,,,,44600,Guadalajara
JALISCO,A,CCM070713L51,"Centro para la Capacitación Matrimonial y Familiar, A.C.","Av. de la Paz Núm 1699 - 2, Col. Americana, C.P. 44160, Guadalajara, Jalisco",David Ochoa Sandoval,3338272650,palacamafa@yahoo.com,,,44160,Guadalajara
JALISCO,B,CCP780610690,"Centro Cultural La Paz de Yahualica, A.C.","Santiago Lavin Núm 1280 Pte., Col. Bellavista, C.P. 35050, Yahualica de González Gallo, Jalisco",Hector Enrique Pérez Velázquez,,,,,35050,Yahualica de González Gallo
JALISCO,M,CDS870907FW2,"Casa de Descanso la Sagrada Familia, A.C.","Av. México Núm 2074, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Verónica Chávez Arriola,3338253879,correo@despachodecontadores.com,,,44600,Guadalajara
JALISCO,A,CDS870907FW2,"Casa de Descanso la Sagrada Familia, A.C.","Av. México Núm 2074, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Verónica Chávez Arriola,3338253879,correo@despachodecontadores.com,,,44600,Guadalajara
JALISCO,B,CEI930715ME7,"Centro de Estudios e Investigaciones de Bioética, A.C.","Av. Vallarta Núm 1944, Col. Obrera Centro, C.P. 44140, Guadalajara, Jalisco",Miguel Ayala Fuentes,01 658 811 74 14,,,,44140,Guadalajara
JALISCO,B,CEO030211CA3,"En la Comunidad Encuentro de Occidente, A.C.","Chapultepec Norte Núm 67 - 23, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Alajandra Paulina Luz Cortina Campero,,,,,44600,Guadalajara
JALISCO,B,CEO6209294X8,"Colegio Enrique de Osso, A.C.","Brasilia Núm 2601, Col. Providencia 1a, 2a y 3a sección, C.P. 44630, Guadalajara, Jalisco",Lucina del Cármen Barragán Taylor,(0133) 3641 1988,lucyby@hotmail.com,,,44630,Guadalajara
JALISCO,A,CEP100322MA7,"Colegiado de Emergencias Protección Civil y Bomberos, A.C.","Coronel Calderón Núm 626, Col. Alcalde Barranquitas, C.P. 44280, Guadalajara, Jalisco",Víctor Yug Maxemin Castillo,16 50 00 78,maxyug@hotmail.com,,,44280,Guadalajara
JALISCO,B,CET8506179N9,"Centro Escolar Torreblanca, A.C.","Pisa Núm 939, Col. Italia Providencia, C.P. 44640, Guadalajara, Jalisco",Josefina De Los Angeles Lango Obregón,641 73 60,,,,44640,Guadalajara
JALISCO,M,CGU791002JB2,"Cáritas de Guadalajara, A.C.","Belisario Domínguez Núm 511, Col. San Juan de Dios, C.P. 44360, Guadalajara, Jalisco",David Rodríguez Reynaga Maximiano Gutiérrez Beracochea Antonio Uriarte García,3336176122,,,,44360,Guadalajara
JALISCO,A,CGU791002JB2,"Cáritas de Guadalajara, A.C.","Belisario Domínguez Núm 511, Col. San Juan de Dios, C.P. 44360, Guadalajara, Jalisco",David Rodríguez Reynaga Maximiano Gutiérrez Beracochea Antonio Uriarte García,3336176122,,,,44360,Guadalajara
JALISCO,A,CIC011003EHA,"Centro Integral Comunitario, A.C.","Santa Rosa del Valle Núm 5, Col. Santa Rosa del Valle, C.P. 45690, El Salto, Jalisco",Martha  Beatriz Medina Chipres,36472821,crodriguez05@msn.com,,,45690,El Salto
JALISCO,M,CIC011003EHA,"Centro Integral Comunitario, A.C.","Santa Rosa del Valle Núm 5, Col. Santa Rosa del Valle, C.P. 45690, El Salto, Jalisco",Martha  Beatriz Medina Chipres,36472821,crodriguez05@msn.com,,,45690,El Salto
JALISCO,A,CIE0404195H2,"Centro de Investigación y Educación en Diabetes y Enfermedades Cardiometabólicas, A.C.","Tarascos Núm 3314, Col. Fraccionamiento Monraz, C.P. 44670, Guadalajara, Jalisco",Alfredo Ortíz Cadenas,,,,,44670,Guadalajara
JALISCO,B,CIF0107169P2,"Centro Infantil Froebel, S.C.","Arista Núm 1273, Col. Sagrada Familia, C.P. 44200, Guadalajara, Jalisco",Rita Josefina Bravo de Alva,15961922,nominasbolasting@gmail.com,,,44200,Guadalajara
JALISCO,B,CIN620926IE5,"Colegio Independencia, A.C.","Jarauta Núm 334, Col. Sector Libertad, C.P. 44360, Guadalajara, Jalisco",Regina Cervantes Muñiz. Muñiz,01 3 6170458,,,,44360,Guadalajara
JALISCO,M,CIR861029BX9,"Centro Integral de Rehabilitación Infantil, A.C.","Av. Vallarta Núm 2575, Col. Centro Sector Juárez, C.P. 44100, Guadalajara, Jalisco",Ma. Lucina Bravo De González,3336155372,,,,44100,Guadalajara
JALISCO,A,CIR861029BX9,"Centro Integral de Rehabilitación Infantil, A.C.","Av. Vallarta Núm 2575, Col. Centro Sector Juárez, C.P. 44100, Guadalajara, Jalisco",Ma. Lucina Bravo De González,3336155372,,,,44100,Guadalajara
JALISCO,B,CJA621106IP8,"Cultural de Jalisco, A.C.","San Benildo Núm 2585, Col. Lomas Independencia, C.P. 44370, Guadalajara, Jalisco",Antonio Sánchez Partida,,,,,44370,Guadalajara
JALISCO,B,CJC880428PF1,"Colegio Jalisco de Colotlán, A.C.","Juárez Núm 74, Col. Colotlán, C.P. 46200, Guadalajara, Jalisco",Aurora Soriano Medrano,14999920026,,,,46200,Guadalajara
JALISCO,B,CLN940905NRA,"Colegio Luis Navarro, A.C.","López Mateos Núm 115, Col. El Rosario, C.P. 46400, Tequila, Jalisco",Alfonso Ramírez Quintana,,,,,46400,Tequila
JALISCO,A,CMA101210QLA,"Comunidad de los Martines, A.C.","José Natividad Macías Núm 1298, Col. Dieciocho de Marzo, C.P. 44960, Guadalajara, Jalisco",David John Kalke,3331446704,comart@live.com.mx,,,44960,Guadalajara
JALISCO,D,CNA960802EJ0,"Consejo Nacional Adopte una Obra de Arte, A.C.","Privada Mar Negro Núm 1430 - 8, Col. Lomas del Country, C.P. 44610, Guadalajara, Jalisco",María Irma Iturbide Robles,3336160139,mariairmamx@yahoo.com.mx,,,44610,Guadalajara
JALISCO,M,CNA960802EJ0,"Consejo Nacional Adopte una Obra de Arte, A.C.","Privada Mar Negro Núm 1430 - 8, Col. Lomas del Country, C.P. 44610, Guadalajara, Jalisco",María Irma Iturbide Robles,3336160139,mariairmamx@yahoo.com.mx,,,44610,Guadalajara
JALISCO,A,COR8409071T1,"Centro Ortopédico de Rehabilitación Infantil, A.C.","Belisario Domínguez Núm 4245 - B, Col. La Federacha, C.P. 44300, Guadalajara, Jalisco",Ing. José Fernández Grandizo,3336743722,,,,44300,Guadalajara
JALISCO,A,CPD051010SN6,"Colectivo Pro Derechos de la Niñez, A.C.","Cruz Verde Núm 19, Col. Jesús, C.P. 44200, Guadalajara, Jalisco",Leticia Escoto Montoya,3338274274,administracion@codeni.org.mx,,,44200,Guadalajara
JALISCO,B,CPG0802191M8,"Colegio Pedregal de Guadalajara, A.C.","Av. del Bajío Núm 5903, Col. El Bajío, C.P. 45019, Acatic, Jalisco",Rogelio Martínez Briones,31106399,brizakarina@hotmail.com,,,45019,Acatic
JALISCO,D,CPR121105DF2,"Crecimiento y Proacción, A.C.","Jaime Nuno Núm 475, Col. Santa Teresita, C.P. 44600, Guadalajara, Jalisco",Julio Pulido Cruz,3335854184,cfr1917@yahoo.com.mx,,,44600,Guadalajara
JALISCO,A,CRD140121KD0,"Construyendo Redes de Bienestar Para la Mujer y su Familia, A.C.","Tuberosa Núm 1156, Col. Quinta Velarde, C.P. 44430, Guadalajara, Jalisco",Lorena Osuna Garata,3336323017,jaimesolorzano@hotmail.com,,,44430,Guadalajara
JALISCO,A,CRE070315KE5,"Centro de Rehabilitación de Enfermedades Adictivas, A.C.","Calzada Independencia Nte. Núm 1091, Col. Independencia, C.P. 44379, Guadalajara, Jalisco",Ramón Francisco Valeriano Sánchez,3336517522,alberguediosporsiempre@hotmail.com,,,44379,Guadalajara
JALISCO,M,CRE070315KE5,"Centro de Rehabilitación de Enfermedades Adictivas, A.C.","Calzada Independencia Nte. Núm 1091, Col. Independencia, C.P. 44379, Guadalajara, Jalisco",Ramón Francisco Valeriano Sánchez,3336517522,alberguediosporsiempre@hotmail.com,,,44379,Guadalajara
JALISCO,B,CRG691017RY6,"Colegio Rafael Guizar, A.C.","Sierra Nevada Núm 1610, Col. Independencia, C.P. 44240, Guadalajara, Jalisco",Luz María Fernández Zamora,3336379349,,,,44240,Guadalajara
JALISCO,B,CRS940905CX4,"Colegio Reforma Secundaria y Preparatoria, A.C.","Pedro Loza Núm 925, Col. Barranquitas, C.P. 44280, Guadalajara, Jalisco",Georgina Martínez Vaca,36135340,Josecruz1950@hotmail.com,,,44280,Guadalajara
JALISCO,A,CSC010627FR7,"Centro San Camilo, A.C.","Av. Pablo Casals Núm 2983, Col. Providencia, C.P. 44630, Zapopan, Jalisco",Silvio Marinelli,3338170452,camilos_mex@infosel.net.mx,,,44630,Zapopan
JALISCO,A,CSP130716N17,"C&J Sonidos y Palabras, A.C.","Paseo Carretas Núm 170 - 1417, Col. Las Villas de Torremolinos, C.P. 45130, Tonalá, Jalisco",Verónica Judith Velázquez Álvarez,3331245207,judithmia@live.com.mx,,,45130,Tonalá
JALISCO,M,CSP130716N17,"C&J Sonidos y Palabras, A.C.","Paseo Carretas Núm 170 - 1417, Col. Las Villas de Torremolinos, C.P. 45130, Tonalá, Jalisco",Verónica Judith Velázquez Álvarez,3331245207,judithmia@live.com.mx,,,45130,Tonalá
JALISCO,A,CTI140523624,"Comisión para el Tratamiento Integral de Personas con Problemas Psicoemocionales, A.C.","Toledo Núm 2534, Col. Santa Elena Alcade, C.P. 44220, Guadalajara, Jalisco",Cecilia Margarita Aguirre Macias,33313956,,,,44220,Guadalajara
JALISCO,M,CTI140523624,"Comisión para el Tratamiento Integral de Personas con Problemas Psicoemocionales, A.C.","Toledo Núm 2534, Col. Santa Elena Alcade, C.P. 44220, Guadalajara, Jalisco",Cecilia Margarita Aguirre Macias,33313956,,,,44220,Guadalajara
JALISCO,M,CUI060102G84,"Cuidarte, A.C.","Corfu Núm 1336, Col. Chapultpec, C.P. 44620, Guadalajara, Jalisco",María Isabel Alva Castro,3338540437,cuidarte@prodigy.net.mx,,,44620,Guadalajara
JALISCO,A,CUI060102G84,"Cuidarte, A.C.","Corfu Núm 1336, Col. Chapultpec, C.P. 44620, Guadalajara, Jalisco",María Isabel Alva Castro,3338540437,cuidarte@prodigy.net.mx,,,44620,Guadalajara
JALISCO,A,CVE0902106C6,"CORDICA 21, A.C.","Av. Hidalgo Núm 1895, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",José Rubén Ruiz Rodríguez,3336159920,pepe.ruiz@cordica.com,,,44600,Guadalajara
JALISCO,M,CVN100202RHA,"Campeones de la Vida NR, A.C.","Toluca Núm 689 - 4, Col. La Perla, C.P. 44360, Guadalajara, Jalisco",Alejandro de Jesús Barbosa Padilla,3333310241,contacto@narizroja.org,,,44360,Guadalajara
JALISCO,A,CVN100202RHA,"Campeones de la Vida NR, A.C.","Toluca Núm 689 - 4, Col. La Perla, C.P. 44360, Guadalajara, Jalisco",Alejandro de Jesús Barbosa Padilla,3333310241,contacto@narizroja.org,,,44360,Guadalajara
JALISCO,M,CZA140930GW8,"Corazones por Zapotlán, A.C.","Federico del Toro Núm 27 - 15, Col. Centro, C.P. 49000, Zapotitlán de Vadillo, Jalisco", Llamas Navarrete,3414125405,lizette_navarrete@hotmail.com,,,49000,Zapotitlán de Vadillo
JALISCO,A,CZA140930GW8,"Corazones por Zapotlán, A.C.","Federico del Toro Núm 27 - 15, Col. Centro, C.P. 49000, Zapotitlán de Vadillo, Jalisco", Llamas Navarrete,3414125405,lizette_navarrete@hotmail.com,,,49000,Zapotitlán de Vadillo
JALISCO,M,CZV131028KV4,"Colectivo Zapotlán VIHVO, A.C.","Negrete Núm 45-C, Col. Centro, C.P. 49000, Zapotitlán de Vadillo, Jalisco",Rodrigo Aguilar Cornejo,,zapotitlanvihvo@gmail.com,,,49000,Zapotitlán de Vadillo
JALISCO,A,CZV131028KV4,"Colectivo Zapotlán VIHVO, A.C.","Negrete Núm 45-C, Col. Centro, C.P. 49000, Zapotitlán de Vadillo, Jalisco",Rodrigo Aguilar Cornejo,,zapotitlanvihvo@gmail.com,,,49000,Zapotitlán de Vadillo
JALISCO,A,CHA970303778,"Casa Hogar del Anciano Agustín Velázquez Medina, A.C.","Prolongación López Mateos Núm 120, Col. El Rosario, C.P. 46400, Tequila, Jalisco",Elisa del Consuelo Sánchez Estrada,3747423625,casahogardelaancianoavm@hotmail.com,,,46400,Tequila
JALISCO,A,CHK050302RR3,"Casa Hogar Kamami, A.C.","Juan Manuel Núm 912, Col. Jesús, C.P. 44200, Guadalajara, Jalisco",Luz Marcela López de la Peña,3338253926,mgalvan@galvan.com,,,44200,Guadalajara
JALISCO,A,CHM931202E20,"Casa Hogar Ma. Teresa, A.C.","Aurelio L. Gallardo Núm 151, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Javier S. Delgado Suárez,,,,,44600,Guadalajara
JALISCO,A,DAA0911102U7,"Danza Aptitude Arte y Discapacidad, A.C.","Juan Cano Núm 835, Col. El Retiro, C.P. 44280, Guadalajara, Jalisco",Isela del Socorro Saldaña Quintero,3336403706,danzaptitude@gmail.com,,,44280,Guadalajara
JALISCO,M,DAA0911102U7,"Danza Aptitude Arte y Discapacidad, A.C.","Juan Cano Núm 835, Col. El Retiro, C.P. 44280, Guadalajara, Jalisco",Isela del Socorro Saldaña Quintero,3336403706,danzaptitude@gmail.com,,,44280,Guadalajara
JALISCO,A,DBS1301246M2,"Don Bosco Sobre Ruedas, A.C.","Emilio Castelar Núm 103 - 10, Col. Arcos Vallarta, C.P. 44130, Guadalajara, Jalisco",Jaime Reyes Retana Zesati,3336300037,quinobravo@yahoo.com,,,44130,Guadalajara
JALISCO,A,DCO1004133A2,"Deseos del Corazón, A.C.","Lago Nicatagua Núm 2 - B, Col. Los Lagos, C.P. 47030, San Juan de los Lagos, Jalisco",Susana Aguilera González,3957853939,admondeseos@hotmail.com,,,47030,San Juan de los Lagos
